Date,JNJ,PG,MSFT,KO,XOM,NKE,IBM,WMT,AAPL,JPM
1994-12-30,13.8125,15.625,3.8671879999999996,13.09375,15.3125,2.328125,18.5625,10.8125,1.40625,12.083333
1995-01-03,13.65625,15.46875,3.84375,12.875,15.125,2.3125,18.375,10.6875,1.388393,11.958333
1995-01-04,13.5,15.53125,3.765625,12.9375,15.1875,2.25,18.46875,10.4375,1.379464,12.125
1995-01-05,13.71875,15.375,3.8046879999999996,12.65625,15.1875,2.242188,18.59375,11.0,1.401786,12.333333
1995-01-06,13.625,15.15625,3.7421879999999996,12.59375,15.25,2.238281,18.5625,11.0,1.486607,12.458333
1995-01-09,13.53125,15.34375,3.8046879999999996,12.5625,15.15625,2.222656,18.75,10.9375,1.486607,12.5
1995-01-10,13.40625,15.28125,3.7890629999999996,12.40625,15.1875,2.253906,19.0,11.0,1.473214,12.5
1995-01-11,13.6875,15.59375,3.8203129999999996,12.28125,15.3125,2.253906,19.25,10.8125,1.5625,12.458333
1995-01-12,13.6875,15.375,3.828125,12.3125,15.0625,2.238281,18.96875,11.0,1.6473209999999998,12.375
1995-01-13,13.59375,15.59375,3.875,12.4375,15.15625,2.234375,19.1875,10.9375,1.6473209999999998,12.5
1995-01-16,13.5625,15.90625,3.953125,12.53125,15.21875,2.25,19.09375,11.0,1.6026790000000002,12.875
1995-01-17,13.71875,15.71875,4.046875,12.65625,15.15625,2.273438,19.3125,10.75,1.589286,12.916667
1995-01-18,13.625,15.6875,4.054688,12.6875,15.3125,2.273438,19.40625,10.75,1.607143,12.791667
1995-01-19,13.625,15.34375,4.03125,12.625,15.46875,2.257813,19.28125,10.5625,1.625,12.458333
1995-01-20,13.5625,15.40625,3.9296879999999996,12.71875,15.5,2.238281,19.09375,10.5625,1.6785709999999998,12.458333
1995-01-23,13.53125,15.1875,3.8125,12.71875,15.625,2.238281,18.625,10.5,1.495536,12.0
1995-01-24,13.96875,15.5,3.9375,12.71875,15.8125,2.289063,18.53125,10.8125,1.5089290000000002,12.458333
1995-01-25,13.78125,15.5,3.8515629999999996,12.59375,15.625,2.246094,18.0,10.8125,1.410714,12.625
1995-01-26,13.6875,15.71875,3.8046879999999996,12.65625,15.65625,2.277344,18.09375,10.9375,1.4598209999999998,12.708333
1995-01-27,14.0625,15.8125,3.7578129999999996,12.9375,15.78125,2.28125,18.1875,11.125,1.424107,12.666667
1995-01-30,14.125,16.125,3.7578129999999996,13.09375,15.5625,2.277344,18.1875,11.3125,1.433036,12.833333
1995-01-31,14.46875,16.34375,3.6953129999999996,13.15625,15.625,2.257813,18.0,11.4375,1.4464290000000002,12.75
1995-02-01,14.59375,16.34375,3.7109379999999996,13.125,15.65625,2.203125,18.09375,11.5625,1.455357,13.0
1995-02-02,14.25,15.96875,3.671875,13.0625,15.5,2.1875,18.40625,11.6875,1.433036,12.791667
1995-02-03,14.25,16.21875,3.71875,13.15625,15.5,2.1875,18.71875,11.9375,1.5,13.041667
1995-02-06,14.375,16.28125,3.7578129999999996,13.28125,15.5,2.226563,18.59375,12.0625,1.455357,13.125
1995-02-07,14.375,16.5625,3.796875,13.3125,15.53125,2.171875,18.5625,12.0625,1.441964,13.291667000000002
1995-02-08,14.28125,16.59375,3.828125,13.40625,15.59375,2.183594,18.53125,11.9375,1.464286,13.125
1995-02-09,14.34375,16.4375,3.8828129999999996,13.3125,15.65625,2.171875,18.5625,12.0625,1.504464,13.333332999999998
1995-02-10,14.21875,16.34375,3.875,13.125,15.4375,2.175781,18.78125,11.9375,1.558036,13.291667000000002
1995-02-13,14.3125,16.3125,3.875,13.28125,15.46875,2.199219,18.78125,11.8125,1.5535709999999998,13.291667000000002
1995-02-14,14.34375,16.4375,3.8828129999999996,13.09375,15.6875,2.203125,18.75,11.9375,1.5625,13.333332999999998
1995-02-15,14.3125,16.25,3.7578129999999996,13.03125,15.75,2.214844,18.90625,12.0,1.544643,13.5
1995-02-16,14.03125,16.28125,3.8046879999999996,13.21875,15.84375,2.191406,18.96875,11.9375,1.5401790000000002,13.458332999999998
1995-02-17,14.09375,16.28125,3.796875,13.5,16.0,2.1875,18.9375,11.9375,1.53125,13.291667000000002
1995-02-21,13.9375,16.46875,3.78125,13.34375,15.875,2.1875,18.75,11.8125,1.5223209999999998,13.333332999999998
1995-02-22,14.0,16.5625,3.734375,13.40625,16.03125,2.230469,18.5625,11.875,1.450893,13.333332999999998
1995-02-23,14.25,16.65625,3.828125,13.4375,16.03125,2.242188,18.6875,11.9375,1.46875,13.375
1995-02-24,14.28125,16.5625,3.8359379999999996,13.5,15.9375,2.265625,18.5625,11.875,1.433036,13.333332999999998
1995-02-27,14.28125,16.65625,3.8359379999999996,13.6875,15.8125,2.3125,18.65625,11.8125,1.3660709999999998,13.25
1995-02-28,14.15625,16.5,3.8671879999999996,13.625,15.90625,2.273438,18.5,11.8125,1.375,13.25
1995-03-01,14.15625,16.53125,3.9453129999999996,13.75,15.96875,2.246094,18.78125,11.9375,1.419643,13.333332999999998
1995-03-02,14.25,16.40625,3.953125,13.8125,15.90625,2.28125,18.84375,12.25,1.433036,13.291667000000002
1995-03-03,14.46875,16.4375,3.9765629999999996,13.71875,15.84375,2.308594,19.28125,12.375,1.419643,13.25
1995-03-06,14.40625,16.4375,3.953125,13.78125,15.875,2.316406,19.875,12.4375,1.419643,13.041667
1995-03-07,14.4375,16.5625,4.023438,13.96875,16.0,2.308594,20.09375,12.1875,1.424107,13.041667
1995-03-08,14.625,16.40625,4.109375,13.84375,16.0,2.296875,19.9375,12.3125,1.3839290000000002,12.833333
1995-03-09,14.5,16.3125,4.28125,13.875,16.21875,2.335938,20.09375,12.1875,1.424107,12.583333
1995-03-10,14.59375,16.59375,4.242188,13.75,16.1875,2.351563,20.21875,12.125,1.4151790000000002,12.583333
1995-03-13,14.875,16.8125,4.289063,14.1875,16.25,2.390625,20.375,12.375,1.4151790000000002,12.958333
1995-03-14,15.0625,16.9375,4.335938,14.21875,16.28125,2.417969,20.5625,12.4375,1.3660709999999998,12.958333
